media_name,title,content
마이데일리,"'토트넘보다 무관 탈출 빨랐다' 뉴캐슬, 리버풀 꺾고 70년 만의 메이저... "," 남은 대회는 잉글랜드 프리미어리그(PL)뿐이다. 뉴캐슬은 닉 포프, 키어런 트리피어, 파비앙 셰어, 댄 번, 발렌티노 리브라멘토, 브루노 기마랑이스, 산드로 토날리, 조엘린통, 제이콥 머피, 알렉산더 이삭, 하비 반스가 선발 출전했다. 벤치에 마틴 두브라브카, 맷 타겟, 에밀 크라프트, 조 윌록, 션 롱스태프...  "
스포탈코리아,"월드클래스 DF, 레알 관심에도 잔류 선언! 그런데 아스널은 재계약 제안... ", 2022-23시즌을 시작으로 꾸준한 활약을 펼친 살리바는 이제 프리미어리그를 대표하는 수비수로 자리 잡았다. 특히 지난 시즌에는 리그 38경기 전 경기 출전하며 아스널의 최소 실점(29실점)에 큰 기여를 했다. 이번 시즌에도 39경기에 출전해 가브리엘 마갈량이스(28)와 함께 아스널의 후방을 든든하게 지키고...  
OSEN,"손흥민과 인연은 이번 시즌까지?.. 감독도 기자도, '환각가스' MF 향해 쓴... ", 토트넘은 16일(한국시간) 영국 런던의 크레이븐 코티지에서 열린 풀럼과 2024-2025 잉글리시 프리미어리그(EPL) 29라운드 '런던 더비' 원정 경기에서 0-2로 패했다. 이로써 리그 3경기 무승(1무 2패)을 기록한 토트넘은 승점 34(10승 4무 15패)를 그대로 유지해 14위로 내려 앉았다. 레스터 시티를 3-0으로 격파한...  
신아일보,"18세 대전 유망주 윤도영, 프리미어리그 브라이턴 이적 임박 "," 프로축구 K리그1 대전하나시티즌의 윙어 윤도영(18)이 잉글랜드 프리미어리그의 브라이턴 앤드 호브 앨비언으로 이적한다. 유럽의 이적시장 전문 기자 파브리치오 로마노는 윤도영의 브라이턴 입단이 임박했다는 사실을 SNS로 전했다. 그는 ""윤도영이 메디컬 테스트와 4년 계약을 앞두고 있다""며 런던에서...  "
TV조선,"윤도영, 프리미어리거 되나…""브라이턴 이적 임박"" ", 프로축구 K리그1 대전하나시티즌의 18세 공격수 윤도영이 잉글랜드 프리미어리그(EPL)의 브라이턴 앤드 호브 앨비언 유니폼을 입을 전망이다. 윤도영은 현재 영국에 머물고 있으며 17일(현지시간) 메디컬 테스트를 거쳐 이르면 이날 사인 절차를 밟을 것으로 전해졌다. 이적시장을 전문으로 다루는...  
인터풋볼,"'가지가지 한다'...19살 임대생, 토트넘 원정 팬들과 충돌→""경기력 엉망... ", 토트넘은 16일 오후 10시 30분(한국시간) 영국 런던에 위치한 크레이븐 코티지에서 열린 2024-25시즌 프리미어리그 29라운드에서 풀럼에 0-2로 패배했다. 이날 패배로 토트넘은 리그 3경기 무승을 기록하게 돼 14위에 머물게 됐다. 10위 본머스와 승점 10점 차이가 난다. 완전히 하위권 팀이 됐다. 손흥민을 선발에서...  
엑스포츠뉴스,"""이강인? 맨유에 완벽한 선수""…EPL 구단과 직접 접촉→최다우승팀 이적... "," 프랑스 리그1 파리 생제르맹(PSG)에서 활약하고 있는 이강인의 잉글랜드 프리미어리그(EPL) 이적설이 다시 수면 위로 떠오르고 있다. 최근 그의 에이전트가 맨체스터 유나이티드(이하 맨유), 애스턴 빌라, 에버턴 등과 접촉한 사실이 알려지면서 팬들의 관심이 집중되고 있다. 이 중, 특히 맨체스터 유나이티드와의...  "
엑스포츠뉴스,"'10경기 4골-4도움' 안토니 ""맨유서 부진? 영국 날씨 때문""→아모림 ""신... "," 이달 초 아모림 감독은 안토니가 프리미어리그의 신체적 특성에 대처하지 못했다고 주장한 바 있다. 아모림 감독은 ""잉글랜드의 어떤 팀과 경기를 하든 신체적인 부분이 있다. 그게 없다면 많은 어려움을 것이다. 안토니는 스페인에서 훨씬 나아졌다. 많은 요인이 있겠지만 내가 보장하건대 그건 신체적 차이...  "
베스트일레븐,"카라바오컵 우승 실패… 슬롯 감독, ""결과와 경기력 모두 실망, 2연패는... "," 한편 슬롯 감독은 최근 공식전 2연패로 좋지 못한 상황이지만, 2024-2025 프리미어리그에서는 좋은 성과를 거두고 있다는 점에서 위안을 찾았다. 슬롯 감독은 ""사우샘프턴전에서 승리하며 리그 선두 경쟁에서 12점 차로 앞서 있다. 휴식기 이후에는 에버턴과의 맞대결이 기다리고 있는데, 쉽지 않은 경기일 것...  "
뉴스1,"뉴캐슬, 리버풀 꺾고 리그컵 정상…70년 만에 국내 대회 트로피 "," 잉글랜드 프리미어리그(EPL) 뉴캐슬 유나이티드가 리그컵 정상에 등극, 70년 만에 영국 대회 트로피를 들어 올렸다. 뉴캐슬은 17일(한국시간) 영국 런던 웸블리 스타디움에서 열린 리버풀과의 2024-25 리그컵 결승전에서 2-1로 승리, 우승했다. 뉴캐슬은 전반 45분 댄 번이 선제골, 후반 8분 알렉산더 아이작이...  "
